Nom aménageur;SIREN aménageur;Contact aménageur;Nom opérateur;Contact opérateur;Téléphone opérateur;Nom enseigne;ID station itinérance;ID station local;Nom station;Implantation station;Adresse station;Code INSEE commune;Coordonnées;Nombre Points de charge;ID PDC itinérance;ID PDC local;Puissance nominale;Prise type E/F;Prise type 2;Prise type combo ccs;Prise type chademo;Prise type autre;Gratuit;Paiement acte;Paiement CB;Paiement autre;Tarification;Condition accès;Réservation;Horaires;Accessibilité PMR;Restriction gabarit;Station deux roues;Raccordement;Num PDL;Date mise en service;Observations;Date de Mise à Jour;cable_t2_attache;Dernière modification;datagouv dataset id;datagouv resource id;datagouv organization or owner;created_at;consolidated_longitude;consolidated_latitude;consolidated_code_postal;consolidated_commune;consolidated_is_lon_lat_correct;consolidated_is_code_insee_verified;coord;longitude;latitude;point_geo;Nom de la commune ou de l'arrondissement municipal;Code de la commune ou de l'arrondissement;Code EPCI;Nom de l'EPCI;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;code_commune_n
IMCSYS;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PWYZVCJ7RTY;WYZVCJ7RTY;Angleur, Avenue du Pré Aily;Voirie;14 Avenue Du Pré-Aily 4031 Liège;;[5.569035, 50.598908];4;FRFR1ESXKH2;SXKH2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-04-28;Autre paiements : compte prépayé.;2023-09-15;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.569035;50.598908;;;False;False;"5.569035;50.598908";5.569035;50.598908;50.598908, 5.569035;;;;;;;;;
Sparkoh;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PMJNXCMKMNM;MJNXCMKMNM;Frameries, Sparkoh;Voirie;3 Rue De Mons 7080 Frameries;;[3.90284255, 50.42002379];3;FRFR1EUFJB2;UFJB2;22;1;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-06-08;Autre paiements : compte prépayé.;2023-09-25;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;3.90284255;50.42002379;;;False;False;"3.90284255;50.42002379";3.90284255;50.42002379;50.42002379, 3.90284255;;;;;;;;;
BUROGEST Office Park;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PBPJA6AA6CA;BPJA6AA6CA;Namur, Avenue des Dessus-de-Lives;Voirie;Avenue Des Dessus De Lives 5101 Namur;;[4.92386007, 50.46182071];4;FRFR1EPNFA2;PNFA2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-01-25;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.92386007;50.46182071;;;False;False;"4.92386007;50.46182071";4.92386007;50.46182071;50.46182071, 4.92386007;;;;;;;;;
BMW Namur;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PVQM8VODW4I;VQM8VODW4I;Namur, BMW Quoilin;Voirie;Chaussée de Marche 620, 5100 Wierde;;[4.9084615, 50.4389957];2;FRFR1ECTFV1;CTFV1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2021-12-30;Autre paiements : compte prépayé.;2023-10-01;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.9084615;50.4389957;;;False;False;"4.9084615;50.4389957";4.9084615;50.4389957;50.4389957, 4.9084615;;;;;;;;;
BMW Namur;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PH6BG1SY13J;H6BG1SY13J;Bmw Quoilin, Marche-en-Famenne;Voirie;Rue De L'expansion 6900 Marche-en-Famenne;;[5.28868032, 50.24177291];2;FRFR1EJYNH2;JYNH2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2021-12-30;Autre paiements : compte prépayé.;2023-09-15;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.28868032;50.24177291;;;False;False;"5.28868032;50.24177291";5.28868032;50.24177291;50.24177291, 5.28868032;;;;;;;;;
Université de Liège Public;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PFJFJ2RMYHE;FJFJ2RMYHE;Liège, 8 Allée de la Découverte;Voirie;8 Allée De La Découverte 4000 Liège;;[5.55983046, 50.58494308];2;FRFR1ECDAZ2;CDAZ2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-10-14;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.55983046;50.58494308;;;False;False;"5.55983046;50.58494308";5.55983046;50.58494308;50.58494308, 5.55983046;;;;;;;;;
Garage Didier;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PEUXBWQWQXS;EUXBWQWQXS;Florenville, Garage Didier;Voirie;68 Rue De France 6820 Florenville;;[5.29830466, 49.6976649];2;FRFR1ERZTQ2;RZTQ2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-01-24;Autre paiements : compte prépayé.;2023-09-30;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.29830466;49.6976649;;;False;False;"5.29830466;49.6976649";5.29830466;49.6976649;49.6976649, 5.29830466;;;;;;;;;
LS PROXI TARAVAO 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PGSANUPSRJN;GSANUPSRJN;LS PROXI TARAVAO;Voirie;8 Terre Vaiameamea, Afaahiti, Taravao 98719 TAIARAPU EST;;[-149.319334, -17.7426183];2;FRFR1EUJVZ1;UJVZ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-06-14;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.319334;-17.7426183;;;False;False;"-149.319334;-17.7426183";-149.319334;-17.7426183;-17.7426183, -149.319334;;;;;;;;;
Aiseau - Presles;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PMSPSTZ6J2B;MSPSTZ6J2B;Aiseau - Presles;Voirie;Rue John Kennedy 150 6250 Roselies;;[4.57130327, 50.41575798];2;FRFR1EGGKH1;GGKH1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-02-07;Autre paiements : compte prépayé.;2023-10-01;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.57130327;50.41575798;;;False;False;"4.57130327;50.41575798";4.57130327;50.41575798;50.41575798, 4.57130327;;;;;;;;;
SHELL ARUE 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PSDKEJCFATZ;SDKEJCFATZ;PK4;Voirie;FFFC+VFM 98701 Arue, Polynésie française;;[-149.529006, -17.5252859];2;FRFR1ENYVM1;NYVM1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-20;Autre paiements : compte prépayé.;2023-04-21;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.529006;-17.5252859;;;False;False;"-149.529006;-17.5252859";-149.529006;-17.5252859;-17.5252859, -149.529006;;;;;;;;;
