ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2;nb_digits_code_INSEE;code_commune_n
COMMUNE_0000000009760754;32216;32;76;200072320.0;LOURTIES MONBRUN;152;;;5;32216
COMMUNE_0000000009756744;47033;47;75;200036523.0;BOUDY DE BEAUREGARD;412;4.0;1421.0;5;47033
COMMUNE_0000000009760252;32009;32;76;243200425.0;ARMOUS ET CAU;86;;;5;32009
COMMUNE_0000000009754403;38225;38;84;243801024.0;AUTRANS MEAUDRE EN VERCORS;2969;47.0;2667.0;5;38225
COMMUNE_0000000009727903;62890;62;32;200044030.0;WILLEMAN;182;3.0;967.0;5;62890
COMMUNE_0000000009732421;8018;8;44;240800920.0;ARDEUIL ET MONTFAUXELLES;70;2.0;945.0;5;08018
COMMUNE_0000000009759331;32113;32;76;243200409.0;CRAVENCERES;92;;;5;32113
COMMUNE_0000000009741242;10319;10;44;241000447.0;RIGNY LE FERRON;366;9.0;678.0;5;10319
COMMUNE_0000000009751252;42070;42;84;244200630.0;CORDELLE;903;18.0;1346.0;5;42070
COMMUNE_0000000009758465;6097;6;93;200039931.0;PIERREFEU;315;1.0;2114.0;5;06097
COMMUNE_0000000009762857;31046;31;76;200072635.0;BAREN;12;;;5;31046
COMMUNE_0000000009749135;71524;71;27;200040293.0;SIVIGNON;167;2.0;1598.0;5;71524
COMMUNE_0000000009740248;53245;53;52;245300355.0;SAINT PIERRE DES LANDES;942;16.0;1014.0;5;53245
COMMUNE_0000000009738405;78269;78;11;200073344.0;GAZERAN;1283;16.0;3202.0;5;78269
COMMUNE_0000000009733716;50181;50;28;200067031.0;FEUGERES;340;3.0;1023.0;5;50181
COMMUNE_0000000009755238;38342;38;84;200030658.0;ROISSARD;300;1.0;2026.0;5;38342
COMMUNE_0000000009752658;16388;16;75;200071827.0;TROIS PALIS;953;10.0;1647.0;5;16388
COMMUNE_0000000009737191;50126;50;28;200069425.0;CHAVOY;127;2.0;1587.0;5;50126
COMMUNE_0000000009746928;25541;25;27;242504488.0;SEPTFONTAINES;367;;;5;25541
COMMUNE_0000000009733847;55232;55;44;245501176.0;HARVILLE;118;;;5;55232
COMMUNE_0000000009760450;31547;31;76;200068641.0;SEYSSES;8787;62.0;2193.0;5;31547
COMMUNE_0000000009754981;33332;33;75;200070092.0;PORCHERES;896;19.0;1301.0;5;33332
COMMUNE_0000000009732277;14107;14;28;200066801.0;BRICQUEVILLE;180;;;5;14107
COMMUNE_0000000009741819;88311;88;44;200068757.0;MONTMOTIER;48;1.0;610.0;5;88311
COMMUNE_0000000009731260;55364;55;44;200066132.0;MOUZAY;705;2.0;610.0;5;55364
COMMUNE_0000000009757703;47075;47;75;200023307.0;CROIX BLANCHE;1013;14.0;1558.0;5;47075
COMMUNE_0000000009747965;18063;18;24;200027076.0;CHAVANNES;175;;;5;18063
COMMUNE_0000000009757075;7110;7;84;240700302.0;JOYEUSE;1709;15.0;2008.0;5;07110
COMMUNE_0000000009729624;2535;2;32;240200444.0;NAMPCELLES LA COUR;121;;;5;02535
COMMUNE_0000000009760544;64355;64;75;200067239.0;LOUVIGNY;140;;;5;64355
COMMUNE_0000000009743257;41123;41;24;200055481.0;MARCHENOIR;649;10.0;892.0;5;41123
COMMUNE_0000000009748315;71505;71;27;247104094.0;SAVIANGES;75;;;5;71505
COMMUNE_0000000009732834;57204;57;44;200067957.0;FAILLY;501;;;5;57204
COMMUNE_0000000009755646;33200;33;75;243300316.0;HAILLAN;10886;125.0;3486.0;5;33200
COMMUNE_0000000009728493;62840;62;32;200035442.0;VELU;136;1.0;714.0;5;62840
COMMUNE_0000000009750355;86159;86;75;200070043.0;MILLAC;554;8.0;799.0;5;86159
COMMUNE_0000000009747841;39085;39;27;200069623.0;CERNIEBAUD;87;;;5;39085
COMMUNE_0000000009754759;24032;24;75;200040095.0;BEAURONNE;368;3.0;800.0;5;24032
COMMUNE_0000000009758014;82113;82;76;248200057.0;MOLIERES;1170;10.0;1327.0;5;82113
COMMUNE_0000000009746891;49195;49;52;200071678.0;MAZIERES EN MAUGES;1154;9.0;1794.0;5;49195
COMMUNE_0000000009750243;69242;69;84;200067817.0;TAPONAS;972;7.0;2551.0;5;69242
COMMUNE_0000000009755223;38489;38;84;200040657.0;SIEVOZ;138;1.0;1202.0;5;38489
COMMUNE_0000000009727899;62396;62;32;200069672.0;GUINECOURT;18;;;5;62396
COMMUNE_0000000009758795;12042;12;76;200067155.0;CALMELS ET LE VIALA;210;;;5;12042
COMMUNE_0000000009742759;70295;70;27;247000854.0;LANTERNE ET LES ARMONTS;210;2.0;2371.0;5;70295
COMMUNE_0000000009757472;12202;12;76;241200187.0;RODEZ;23739;122.0;1684.0;5;12202
COMMUNE_0000000009732034;2091;2;32;240200501.0;BLANZY LES FISMES;112;;;5;02091
COMMUNE_0000000009750082;23143;23;75;200067510.0;NOTH;507;6.0;874.0;5;23143
COMMUNE_0000000009741908;45113;45;24;200067668.0;COURTEMAUX;265;5.0;813.0;5;45113
COMMUNE_0000000009733715;50232;50;28;200067023.0;HAUTEVILLE LA GUICHARD;469;3.0;882.0;5;50232
COMMUNE_0000000009752093;63219;63;84;200069169.0;MAZAYE;727;3.0;1292.0;5;63219
COMMUNE_0000000009759265;81220;81;76;200066124.0;RABASTENS;5565;63.0;1846.0;5;81220
COMMUNE_0000000009736326;57382;57;44;200068146.0;LANGATTE;558;;;5;57382
COMMUNE_0000000009733095;27529;27;28;200035665.0;SAINT CYR LA CAMPAGNE;425;;;5;27529
COMMUNE_0000000009730153;76268;76;28;200084952.0;FONGUEUSEMARE;190;3.0;1561.0;5;76268
COMMUNE_0000000009740042;52065;52;44;200044253.0;BOUZANCOURT;65;;;5;52065
COMMUNE_0000000009757626;30159;30;76;200066918.0;MARTINET;778;11.0;1456.0;5;30159
COMMUNE_0000000009731177;50341;50;28;200067205.0;MONTEBOURG;2085;19.0;1402.0;5;50341
COMMUNE_0000000009737726;67108;67;44;246701064.0;DUPPIGHEIM;1587;;;5;67108
COMMUNE_0000000009762320;11207;11;76;200071926.0;LOUPIA;241;2.0;1473.0;5;11207
