8_code_commune_n,8_Nb_aeroports
3043,1
6079,1
10387,1
11069,1
12066,1
13117,1
14032,1
14137,1
15014,1
16026,1
17036,1
17300,1
18050,1
19107,1
21263,1
22113,1
22251,1
23009,1
24026,1
24037,1
26024,1
29061,1
29151,1
29170,1
30258,1
31056,1
33281,1
34050,1
34336,1
35228,1
35281,1
36057,1
37261,1
38049,1
39198,1
42184,1
42211,1
43095,1
44020,1
44176,1
46042,1
47016,1
49076,1
49099,1
50086,1
51508,1
53130,1
56063,1
57116,1
59034,1
59288,1
60057,1
6088,1
62193,1
62261,1
63019,1
64024,1
64037,1
65052,1
66030,1
67124,1
68066,1
68297,1
69271,1
69299,1
72181,1
73103,1
74099,1
74112,1
76039,1
76351,1
79191,1
81052,1
81084,1
83069,1
84007,1
85113,1
86194,1
87085,1
88002,1
89024,1
91027,1
92040,1
95088,1
95527,1
