2_code_commune_n,2_Nb_stations_carburants
1004,3
1005,2
1014,2
1022,1
1024,1
1025,1
1032,1
1033,2
1034,2
1043,1
1049,2
1053,8
1064,1
1067,2
1072,3
1074,2
1089,2
1093,3
1098,1
1108,1
1115,1
1138,3
1142,2
1143,1
1148,1
1159,1
1160,3
1173,3
1185,1
1194,1
1196,1
1202,1
1203,1
1204,1
1224,1
1228,1
1229,1
1238,1
1243,1
1244,2
1248,2
1249,2
1258,1
1262,1
1265,1
1266,1
1267,1
1269,1
1273,1
1283,4
1288,1
1289,3
1301,1
1304,2
1307,1
1320,1
1333,3
1337,1
1344,2
1345,1
1348,1
1350,2
1354,2
1363,2
1378,1
1384,1
1388,1
1390,1
1399,1
1405,1
1419,1
1421,1
1422,1
1427,1
1443,1
1451,3
1452,1
1457,3
2005,3
2018,1
2037,2
2040,1
2041,1
2059,1
2065,1
2093,1
2095,1
2110,1
2128,1
2135,1
2141,1
2157,1
2163,1
2168,5
2173,1
2212,1
2236,1
2237,1
2238,1
2243,1
2264,1
2287,1
2303,1
2304,1
2305,2
2307,2
2321,1
2332,2
2334,1
2340,1
2361,3
2371,1
2381,3
2397,2
2399,1
2408,5
2433,1
2460,1
2468,2
2477,1
2543,1
2548,2
2549,1
2558,1
2575,1
2580,1
2602,1
2643,2
2648,1
2666,1
2676,1
2691,8
2722,6
2738,1
2758,2
2770,1
2780,1
2789,2
2810,7
2820,1
3003,1
3013,3
3023,2
3036,1
3043,1
3048,1
3060,1
3082,3
3084,1
3095,3
3098,2
3099,2
3101,4
3102,3
3103,1
3104,2
3107,1
3118,6
3128,2
3138,5
3155,1
3165,1
3185,7
3186,2
3190,3
3195,1
3236,1
3254,4
3262,2
3264,1
3267,1
3275,1
3286,2
3297,3
3298,5
3310,3
3321,3
4006,1
4008,1
4013,1
4019,4
4020,1
4022,1
4034,1
4039,2
4045,1
4049,5
4070,3
4076,2
4088,2
4094,1
4110,1
4112,7
4116,1
4135,1
4143,4
4144,1
4145,2
4166,2
4173,2
4195,1
4209,4
4230,3
4240,1
4245,2
5006,1
5012,2
5017,1
5023,3
5029,1
5040,3
5046,3
5052,1
5053,1
5054,1
5056,1
5061,7
5065,1
5070,3
5079,1
5085,1
5115,2
5116,1
5132,1
5151,1
5161,3
5164,1
5166,2
5170,3
5177,2
5179,3
6004,14
6011,1
6012,3
6018,1
6020,1
6023,2
6027,14
6029,13
6030,6
6031,1
6032,2
6033,2
6038,1
6039,1
6044,1
6046,4
6054,1
6059,1
6064,1
6065,4
6069,9
6073,1
6075,2
6079,2
6083,4
6084,1
6085,5
6088,34
6089,2
6090,1
6095,2
6099,2
6104,5
6105,2
6108,2
6112,1
6118,1
6120,2
6122,1
6123,6
6126,1
6127,1
6130,1
6134,1
6140,2
6150,2
6152,3
6155,4
6157,2
6159,2
6161,2
6163,1
7008,1
7010,4
7019,4
7025,1
7042,1
7055,1
7064,2
7070,2
7071,1
7078,5
7089,1
7101,1
7102,1
7110,1
7117,1
7127,1
7128,1
7129,1
7132,1
7138,1
7181,2
7182,1
7183,1
7186,1
7191,1
7199,1
7201,1
7229,1
7231,1
7236,1
7240,1
7245,1
7247,1
7259,1
7281,1
7289,1
7295,2
7304,1
7316,1
7319,2
7324,4
7330,1
7334,2
7338,1
7339,1
7340,1
7341,2
7343,1
7346,1
7348,3
7349,3
8008,1
8024,2
8025,2
8053,1
8067,1
8081,1
8090,1
8105,6
8107,1
8125,1
8142,1
8185,2
8190,2
8218,1
8226,1
8239,1
8282,1
8302,2
8311,1
8328,1
8341,1
8361,1
8362,2
8363,1
8365,1
8367,1
8402,1
8403,1
8409,5
8480,1
8486,1
8490,3
8491,1
9003,1
9042,2
9047,1
9061,2
9122,7
9124,2
9157,2
9160,2
9167,1
9185,1
9194,3
9223,1
9225,5
9228,2
9240,1
9261,2
9265,1
9268,3
9282,1
9283,1
9306,1
9324,1
9332,1
9334,1
10003,1
10006,3
10018,3
10030,2
10033,4
10034,2
10064,3
10067,1
10080,2
10081,2
10084,1
10115,1
10140,1
10141,1
10142,1
10158,1
10162,2
10193,1
10209,4
10216,2
10220,1
10224,1
10233,1
10261,2
10268,3
10297,1
10317,1
10323,3
10325,2
10333,3
10340,3
10343,4
10349,1
10357,2
10362,3
10387,5
10399,1
10401,1
10420,1
11009,1
11012,1
11013,1
11018,2
11021,1
11049,1
11068,6
11069,12
11076,6
11106,1
11129,1
11145,2
11170,2
11172,1
11188,4
11190,1
11199,1
11202,2
11203,4
11206,4
11254,1
11260,1
11262,13
11266,1
11286,1
11304,4
11315,1
11322,1
11325,1
11351,1
11353,1
11367,1
11369,2
11370,3
11379,1
11397,2
11426,1
11429,1
11433,1
11434,1
12026,1
12033,2
12034,1
12044,1
12047,1
12049,1
12052,1
12056,2
12057,1
12083,1
12089,3
12094,2
12096,3
12101,1
12105,2
12115,1
12119,1
12120,1
12121,1
12133,2
12145,7
12148,1
12161,1
12164,1
12168,1
12169,3
12174,1
12176,3
12185,2
12195,1
12197,2
12198,3
12199,1
12202,11
12208,4
12215,1
12223,1
12224,2
12237,1
12238,1
12243,1
12244,1
12247,1
12254,1
12270,6
12277,1
12286,1
12288,1
12299,1
12300,6
12301,3
12305,2
13001,15
13002,2
13004,9
13005,8
13007,1
13010,1
