1_code_commune_n,1_Nb_bornes_électriques
1004,9
1005,2
1012,2
1014,4
1027,8
1032,2
1033,11
1034,8
1043,3
1053,59
1067,14
1071,3
1072,24
1089,4
1098,4
1104,1
1113,1
1130,4
1142,25
1143,2
1160,6
1165,1
1173,7
1181,2
1192,2
1195,18
1202,2
1229,5
1238,3
1244,5
1248,14
1254,10
1262,6
1269,4
1272,2
1276,2
1281,2
1283,4
1289,2
1303,2
1320,4
1328,4
1333,3
1344,3
1354,6
1363,4
1390,26
1398,2
1399,15
1426,4
1451,17
2018,2
2037,2
2057,2
2064,4
2073,2
2095,4
2103,2
2110,2
2120,2
2128,2
2131,2
2134,6
2141,2
2157,4
2158,7
2163,2
2168,43
2173,6
2186,2
2199,2
2212,4
2222,2
2237,2
2238,2
2243,4
2245,2
2264,2
2281,2
2290,2
2292,4
2298,2
2304,4
2307,2
2332,8
2334,2
2360,11
2361,8
2371,16
2372,1
2381,12
2387,2
2397,2
2399,9
2408,69
2430,2
2477,4
2484,2
2487,2
2490,2
2502,2
2514,4
2521,2
2543,2
2554,2
2555,2
2558,2
2575,2
2578,2
2580,2
2602,2
2643,4
2648,2
2666,2
2668,2
2672,2
2676,3
2680,2
2691,86
2698,2
2720,4
2722,84
2755,2
2756,4
2758,2
2785,2
2789,2
2795,4
2805,2
2810,10
2818,2
2820,2
3001,2
3003,2
3013,16
3022,2
3023,7
3025,2
3026,2
3036,10
3043,2
3046,2
3048,2
3053,2
3060,6
3074,2
3080,3
3082,4
3084,2
3087,4
3094,2
3095,17
3098,2
3101,2
3102,2
3103,2
3104,28
3107,3
3118,10
3128,4
3132,2
3138,4
3140,2
3155,2
3161,2
3165,2
3183,2
3185,39
3186,6
3190,14
3195,2
3197,2
3202,2
3211,2
3235,2
3236,2
3253,18
3254,12
3262,12
3264,2
3275,2
3286,9
3297,2
3298,6
3304,3
3310,27
3315,2
3320,2
3321,10
4006,4
4008,2
4013,30
4018,2
4019,4
4022,2
4033,3
4034,2
4036,2
4039,2
4045,2
4046,2
4049,4
4061,2
4070,23
4073,2
4076,4
4088,22
4094,4
4096,2
4102,2
4108,3
4111,2
4112,38
4116,4
4121,2
4123,2
4126,3
4134,2
4135,4
4140,2
4143,3
4144,2
4149,2
4152,2
4157,2
4158,2
4161,1
4163,2
4166,4
4171,1
4173,2
4176,2
4178,2
4186,2
4188,2
4192,2
4197,2
4203,2
4205,2
4209,24
4217,2
4226,4
4230,4
4244,3
4245,9
5003,2
5004,2
5006,4
5007,2
5008,2
5010,2
5012,2
5017,2
5023,7
5027,2
5029,2
5038,2
5040,6
5044,2
5046,10
5048,2
5050,2
5052,5
5054,2
5059,2
5061,55
5063,2
5064,2
5065,8
5070,6
5077,2
5079,4
5082,2
5085,9
5093,2
5096,4
5097,2
5098,4
5101,4
5103,2
5110,2
5114,2
5118,4
5119,4
5122,2
5126,2
5132,4
5133,2
5134,2
5139,4
5142,4
5145,2
5146,2
5151,6
5157,2
5161,2
5162,2
5164,4
5166,4
5170,8
5174,2
5177,6
5179,6
6004,52
6011,4
6012,25
6018,11
6023,4
6027,13
6029,20
6030,23
6032,20
6033,3
6035,2
6036,2
6044,5
6062,2
6064,2
6067,2
6069,28
6079,6
6083,26
6085,89
6086,4
6088,243
6089,2
6099,1
6104,8
6113,6
6128,1
6130,2
6132,2
6136,6
6140,2
6150,27
6152,17
6155,5
6157,2
6161,25
6162,4
6163,4
7002,2
7005,2
7008,2
7009,2
7010,4
7011,2
7019,16
7024,1
7031,2
7034,2
7042,4
7051,2
7052,2
7053,2
7064,8
7066,2
7069,2
7070,2
7071,2
7072,2
7075,2
7076,2
7077,1
7078,25
7101,2
7102,4
7107,2
7110,3
7113,2
7115,2
7117,2
7119,2
7122,2
7126,6
7128,5
7129,4
7130,2
7132,2
7138,1
7142,2
7152,2
7153,2
