7_code_commune_n,7_Nb_gares_ferroviares
1004,1
1007,1
1017,1
1027,1
1031,1
1033,1
1043,1
1051,1
1053,1
1063,1
1072,1
1118,1
1138,1
1235,1
1244,1
1246,1
1248,1
1249,2
1262,1
1267,1
1283,1
1301,1
1304,1
1306,1
1308,1
1333,1
1371,1
1374,1
1376,1
1383,1
1384,1
1405,1
1408,1
1443,1
1447,1
1452,1
1457,1
2013,1
2046,1
2095,1
2109,1
2168,1
2173,1
2186,1
2196,1
2216,1
2218,1
2232,1
2238,1
2243,1
2261,1
2304,1
2307,1
2315,1
2334,1
2360,1
2381,2
2408,1
2438,1
2464,1
2468,1
2474,1
2504,1
2555,1
2574,1
2602,1
2676,1
2691,1
2722,1
2738,1
2761,1
2768,1
2787,1
2788,1
2789,1
2799,1
2810,1
2820,1
2827,1
3010,1
3022,1
3025,1
3082,1
3102,1
3118,1
3127,1
3128,1
3152,1
3185,3
3190,1
3220,1
3236,1
3298,1
3301,1
3310,1
3316,1
4034,1
4049,1
4112,1
4209,1
5006,1
5010,1
5023,1
5040,1
5046,1
5052,1
5061,1
5070,1
5166,1
5179,1
6004,2
6011,1
6018,1
6023,1
6027,2
6029,5
6032,1
6054,1
6057,1
6059,1
6062,1
6069,1
6079,1
6083,2
6084,1
6088,4
6091,1
6092,1
6104,3
6123,1
6136,1
6138,1
6142,1
6149,3
6155,1
6159,1
6161,1
6162,1
6163,3
8011,1
8028,1
8081,1
8090,1
8105,2
8133,1
8139,1
8142,1
8166,1
8185,1
8190,1
8222,1
8237,1
8242,1
8254,1
8263,1
8302,1
8327,1
8328,1
8341,1
8362,1
8363,1
8409,1
8486,1
8492,1
9032,1
9070,1
9122,1
9139,1
9176,1
9189,1
9225,1
9264,1
9282,1
9306,1
9324,1
9331,1
10033,1
10268,1
10323,1
10387,1
10401,1
11008,1
11049,1
11069,1
11076,1
11102,1
11106,1
11129,1
11202,1
11203,1
11206,2
11262,1
11266,1
11293,1
11304,1
11408,1
12013,1
12047,1
12052,1
12056,1
12083,1
12133,1
12145,1
12155,1
12167,1
12169,1
12202,1
12215,1
12225,1
12243,1
12252,1
12270,1
12282,1
12300,1
12305,1
13001,2
13004,1
13005,1
13021,1
13022,1
13028,1
13033,1
13039,1
13041,1
13047,2
13049,1
13056,3
13059,1
13063,1
13067,1
13070,1
13077,1
13081,1
13088,1
13092,1
13097,1
13102,1
13103,1
13104,1
13105,1
13106,1
13107,1
13108,1
13117,1
13201,1
13202,1
13204,1
13211,3
13214,2
13215,2
13216,2
14026,1
14047,1
14079,1
14118,1
14220,1
14225,2
14287,1
14338,1
14366,2
14367,1
14370,1
14431,1
14452,1
14456,1
14514,1
14610,1
14654,1
14754,1
14762,1
15014,1
15021,1
15088,1
15094,1
15101,1
15119,1
15122,1
15138,1
15141,1
15187,1
15258,1
15267,1
15268,2
16015,1
16070,1
16073,1
16085,1
16090,1
16102,1
16113,1
16134,1
16153,1
16192,1
16196,1
16230,1
16281,1
16291,1
16292,1
17003,1
17010,1
17028,1
17053,1
17074,1
17094,1
17194,1
17197,1
17211,1
17240,1
17283,1
17299,1
17300,2
17306,1
17309,1
17344,1
17347,1
17353,1
17397,1
17400,1
17415,1
17421,1
17434,1
17449,1
17474,1
18018,1
18027,1
18033,1
18058,1
18096,1
18108,1
18133,1
18138,1
18141,1
18160,1
18172,1
18178,1
18207,1
18213,1
18270,1
18279,2
19005,1
19011,1
19031,1
19033,1
19061,1
19062,1
19073,1
19095,1
19107,1
19124,1
19129,1
19136,1
19143,1
19153,1
19160,1
19182,1
19211,1
19272,1
19273,1
19275,1
19276,1
19278,2
19285,1
21005,1
21038,1
21054,1
21080,1
21103,1
21106,1
21107,1
21183,1
21194,1
21231,2
21290,1
21292,1
21295,1
21297,1
21317,1
21339,1
21353,1
21356,1
21373,1
21412,1
21425,1
21464,1
21473,1
21475,1
21535,1
21554,1
21555,1
21582,1
21607,1
21627,1
21661,1
21663,1
21670,1
21699,1
22020,1
22025,2
22032,1
22050,1
22052,1
22067,1
22070,1
22093,1
22096,1
22105,1
22113,1
22128,1
22135,1
22144,1
22156,1
22162,1
22172,1
22185,1
22193,1
22196,1
22197,1
22206,1
22207,1
22212,1
22216,1
22227,1
22233,2
22234,1
22249,2
22250,2
22278,1
22327,1
22338,1
22389,1
23001,1
23008,1
23079,1
23096,1
23104,1
23105,1
23124,1
23132,1
23137,1
23149,1
23176,1
23239,1
24002,1
24020,1
24026,1
24035,1
24037,1
24053,2
24067,1
24068,1
24115,1
24133,1
24156,1
24157,1
24172,1
24194,1
24223,2
24225,1
24226,1
24229,1
24241,1
24256,2
24260,1
24261,1
24294,1
24299,1
24308,1
24309,1
24322,2
24350,1
24370,1
24372,1
24396,1
24442,1
24484,1
24520,1
24538,1
24547,1
24550,1
24551,1
24558,1
24568,1
24585,1
25021,1
25035,1
25039,1
25047,1
25056,2
25105,1
25156,1
25159,1
25195,1
25197,1
25212,1
25222,1
25258,1
25259,1
25271,1
25305,1
25315,1
25320,1
25323,1
25336,1
25364,1
25388,1
25397,1
25410,1
25411,1
25429,1
25462,1
25493,1
25495,1
25515,1
25527,1
25532,1
25564,1
25578,2
25632,1
26004,1
26108,1
26113,1
26116,1
26165,1
26166,1
26167,1
26168,1
26198,1
26235,1
26281,1
26289,1
26325,1
26333,1
26347,1
26362,1
27022,1
27051,1
27056,1
27082,1
27105,1
27116,1
27119,1
27165,1
27229,1
27284,1
27288,1
27438,1
27469,1
27492,1
27598,1
27622,1
27679,1
27681,1
27701,1
28006,1
28012,2
28015,1
28021,1
28051,1
28061,1
28062,1
28085,1
28088,1
28103,1
28116,1
28134,1
28140,1
28196,1
28201,1
28214,1
28218,1
28225,1
28227,1
28280,1
28302,1
28325,1
28337,1
28357,1
28358,1
28367,1
28391,1
28422,1
29004,1
29019,1
29024,1
29026,1
29045,1
29056,1
29074,1
29103,1
29105,1
29151,1
29163,1
29199,1
29232,1
29233,1
29235,1
29237,1
29239,1
29241,1
29259,1
29266,1
29302,1
30003,1
30006,1
30007,1
30028,1
30032,1
30033,1
30046,1
30053,1
30059,1
30080,1
30112,1
30123,1
30128,1
30130,1
30132,2
30133,1
30155,1
30169,1
30189,2
30202,1
30239,1
30255,1
30276,1
30333,1
30341,1
30344,1
31033,1
31037,1
31048,1
31084,1
31088,1
31094,1
31107,1
31118,1
31135,1
31145,1
31149,3
31169,1
31181,1
31182,1
31224,1
31228,1
31246,1
31254,2
31296,1
31303,1
31324,1
31339,1
31358,1
31384,1
31389,1
31395,1
31417,1
31421,1
31433,1
31483,1
31490,1
31503,1
31555,11
31574,1
31582,1
31589,1
32012,1
32013,1
32147,1
32160,1
33003,2
33007,1
33009,1
33018,1
33030,1
33032,1
33037,1
33039,1
33051,1
33056,1
33063,2
33075,1
33080,1
33108,1
33111,1
33114,1
33119,1
33120,1
33122,1
33138,1
33143,1
33154,1
33183,1
33187,1
33199,2
33221,1
33227,1
33240,1
33243,1
33256,1
33262,1
33268,1
33281,1
33297,1
33312,1
33314,1
33318,2
33327,1
33334,1
33337,1
33352,1
33366,1
33393,1
33394,1
33397,1
33402,1
33433,1
33435,1
33447,1
33448,1
33463,1
33478,1
33483,1
33492,1
33514,1
33527,1
33529,1
33539,1
33544,2
33550,1
33555,1
34003,1
34022,1
34028,1
34032,1
34038,1
34108,1
34144,1
34145,1
34146,1
34147,1
34150,1
34172,2
34233,2
34240,1
34301,1
34321,1
34332,1
34333,1
34337,1
35024,1
35029,1
35040,1
35047,2
35051,1
35068,1
35079,1
35085,1
35088,1
35094,1
35095,1
35116,1
35122,1
35126,1
35131,1
35136,1
35139,1
35145,1
35167,1
35176,1
35179,1
35184,2
35188,1
35195,1
35207,1
35221,1
35224,1
35234,1
35236,1
35238,3
35239,1
35250,1
35252,1
35274,1
35281,1
35288,1
35296,1
35312,1
35327,1
35333,1
35352,1
35360,1
36006,1
36034,1
36044,1
36070,1
36088,1
36101,1
36140,1
36161,1
36171,1
36199,1
36219,1
36228,1
36229,1
37003,1
37014,1
37015,1
37018,1
37045,1
37049,1
37058,1
37063,1
37070,1
37072,1
37074,1
37077,1
37083,1
37085,1
37091,1
37099,1
37104,1
37122,2
37123,1
37131,1
37132,1
